PLAYER,POS,BODY FAT%,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Zach Edey,C,-%,10,10.75,7' 3.75'',9' 7.00'',299,7' 10.75''
Donovan Clingan,C,-%,10,10.25,7' 1.75'',9' 7.00'',282,7' 6.75''
Quinten Post,C,-%,9.25,10,7' 0.00'',9' 4.00'',244.4,7' 2.50''
Alexandre Sarr,C,-%,9,10,6' 11.75'',9' 2.00'',224.2,7' 4.25''
Kel'el Ware,C,-%,9.5,10.25,6' 11.75'',9' 4.50'',230,7' 4.50''
Jesse Edwards,C,-%,9.25,10,6' 11.50'',9' 3.00'',236,7' 5.00''
Kyle Filipowski,PF,-%,8.75,9.5,6' 10.75'',8' 11.00'',229.8,6' 10.50''
Ariel Hukporti,C,-%,9.25,10.25,6' 10.75'',9' 3.00'',246.2,7' 2.50''
Yves Missi,C,-%,9.5,10,6' 10.75'',9' 1.50'',229.4,7' 2.00''
Ulrich Chomche,C,-%,9.25,10.25,6' 10.25'',9' 1.00'',232.4,7' 4.00''
N'Faly Dante,C,-%,9.25,10,6' 10.00'',9' 3.00'',260.2,7' 6.00''
Oso Ighodaro,C,-%,9,10,6' 9.50'',8' 8.50'',222,6' 11.00''
Izan Almansa,C,-%,9.25,9.25,6' 9.25'',9' 2.00'',219.6,7' 1.00''
Trevon Brazile,PF,-%,9,10.25,6' 9.25'',9' 0.50'',215,7' 3.75''
Tyler Smith,PF,-%,8.5,9,6' 9.00'',8' 9.00'',223.8,7' 1.00''
Matas Buzelis,SF,-%,8.5,9.25,6' 8.75'',8' 9.50'',197,6' 10.00''
DaRon Holmes II,C,-%,8.75,9,6' 8.75'',9' 0.00'',236.2,7' 1.00''
Bobi Klintman,PF,-%,8.75,10,6' 8.75'',8' 10.50'',212.2,6' 11.00''
Tidjane Salaun,PF,-%,8.5,9.75,6' 8.75'',9' 2'',217.4,7' 1.5''
Zaccharie Risacher,SF,-%,8.5,8.75,6' 8.5'',8' 11'',194.6,6' 9.5''
Adem Bona,C,-%,9.5,10,6' 8.25'',9' 0.00'',243.2,7' 3.75''
Tristan Da Silva,PF,-%,9,9.5,6' 8.25'',8' 8.50'',216.8,6' 10.25''
PJ Hall,C,-%,9,9.75,6' 8.25'',8' 7.50'',239.6,7' 1.50''
Coleman Hawkins,PF,-%,8.75,8.75,6' 8.25'',8' 11.00'',215.2,7' 0.00''
Nae'Qwan Tomlin,PF,-%,9,10,6' 8.25'',9' 1.00'',205,7' 2.50''
Pacome Dadiet,SF,-%,8.5,9,6' 7.75'',8' 11.5'',216.8,6' 9''
Isaac Jones,C,-%,9.25,10.25,6' 7.75'',9' 0.00'',235,7' 3.00''
Johnny Furphy,SF,-%,8,9.5,6' 7.50'',8' 8.50'',188.8,6' 8.00''
Melvin Ajinca,SF,-%,8.5,9.75,6' 7.25'',8' 10.5'',213.8,6' 7.5''
Enrique Freeman,PF,-%,8.75,10,6' 7.25'',9' 0.00'',212,7' 2.00''
Nikola Djurisic,SF,-%,8.5,10,6' 7.00'',8' 6.50'',208.8,6' 8.00''
Kyshawn George,SF,-%,9,10.25,6' 7.00'',8' 9.00'',208.8,6' 10.25''
JT Toppin,PF,-%,9.25,9.25,6' 7.00'',8' 10.00'',221,7' 0.50''
Jalen Bridges,SF,-%,9,10,6' 6.75'',8' 9.00'',213.4,6' 10.00''
Trentyn Flowers,SF,-%,8.75,9.5,6' 6.50'',8' 4.50'',201.4,6' 8.25''
Ron Holland II,SF,-%,8.75,9,6' 6.50'',8' 8.00'',196.8,6' 10.75''
Alex Karaban,PF,-%,8.75,9.25,6' 6.50'',8' 10.50'',219.2,6' 11.00''
Jaylen Wells,SF,-%,8.25,9.25,6' 6.50'',8' 7.50'',206.2,6' 7.25''
Cody Williams,SF,-%,8.25,9,6' 6.50'',8' 7.00'',178.4,7' 1.00''
Ryan Dunn,PF,-%,9,9.75,6' 6.25'',8' 7.00'',213.6,7' 1.50''
Keshad Johnson,PF,-%,9.25,10.75,6' 6.25'',8' 7.00'',224,6' 10.25''
Jonathan Mogbo,PF,-%,8.75,8.75,6' 6.25'',9' 0.50'',217.2,7' 2.00''
Payton Sandfort,SF,-%,8.5,9,6' 6.25'',8' 8.00'',212,6' 8.00''
Baylor Scheierman,SF,-%,9.25,9.75,6' 6.25'',8' 6.50'',201.6,6' 8.25''
Justin Edwards,SF,-%,8.75,8.75,6' 6.00'',8' 6.50'',209.4,6' 10.00''
Michael Ajayi,SF,-%,9.5,9.75,6' 5.75'',8' 10.50'',227.8,7' 0.75''
Tyon Grant-Foster,SF,-%,8.75,9.25,6' 5.75'',8' 8.00'',215.2,6' 11.75''
Terrence Shannon Jr.,SF,-%,8.75,8.5,6' 5.75'',8' 4.00'',219.4,6' 8.75''
Nikola Topic,PG,-%,8,9,6' 5.75'',8' 6'',203,6' 5.5''
Stephon Castle,SG,-%,8.75,8.75,6' 5.50'',8' 6.00'',210,6' 9.00''
Jaylon Tyson,SF,-%,8.25,9.5,6' 5.50'',8' 6.50'',218.2,6' 8.00''
Harrison Ingram,SF,-%,9,10.25,6' 5.25'',8' 6.50'',233.6,7' 0.25''
Dalton Knecht,SF,-%,8.5,9.5,6' 5.25'',8' 7.50'',212.2,6' 9.00''
Pelle Larsson,SG,-%,8.75,10.25,6' 5.25'',8' 6.00'',212.4,6' 7.50''
Kevin McCullar Jr.,SF,-%,8.75,9.5,6' 5.25'',8' 7.00'',205.8,6' 9.00''
Nique Clifford,SF,-%,8,9,6' 5.00'',8' 6.00'',198.6,6' 8.00''
Jamir Watkins,SF,-%,9,9.5,6' 5.00'',8' 8.00'',211.6,6' 10.75''
Jaxson Robinson,SG,-%,9,9.5,6' 4.75'',8' 7.00'',188.6,6' 11.25''
Cam Christie,SG,-%,8,8,6' 4.50'',8' 5.50'',190.4,6' 8.00''
Dillon Jones,SF,-%,9,9.25,6' 4.50'',8' 4.50'',236.8,6' 11.00''
Antonio Reeves,SG,-%,9,10,6' 4.50'',8' 4.50'',186.6,6' 8.25''
AJ Johnson,SG,-%,8.5,8.5,6' 4.25'',8' 6.00'',167,6' 8.50''
Ja'Kobe Walter,SG,-%,8.75,9.75,6' 4.25'',8' 6.50'',197.6,6' 10.00''
Juan Nunez,PG,-%,8.5,9.5,6' 4'',8' 6'',205.6,6' 6.5''
Carlton Carrington,PG,-%,8.5,9.25,6' 3.75'',8' 3.00'',194.8,6' 8.00''
David Jones,SF,-%,8.5,9.5,6' 3.50'',8' 4.00'',211.2,6' 6.75''
Hunter Sallis,SG,-%,8,9.5,6' 3.50'',8' 4.50'',179.4,6' 9.75''
Trey Alexander,SG,-%,8.75,10,6' 3.25'',8' 5.50'',187,6' 10.50''
Ajay Mitchell,PG,-%,8.5,8.5,6' 3.25'',8' 5.00'',197,6' 6.25''
Tristen Newton,PG,-%,8.5,9,6' 3.25'',8' 4.00'',191.8,6' 6.75''
Cam Spencer,SG,-%,8.5,9.75,6' 3.00'',8' 2.50'',201.8,6' 5.00''
Isaiah Collier,PG,-%,8.5,9,6' 2.50'',8' 1.50'',204.6,6' 4.75''
Devin Carter,SG,-%,8.75,9,6' 2.25'',8' 2.00'',193,6' 8.75''
Jared McCain,SG,-%,8.25,9.5,6' 2.00'',8' 2.00'',203.2,6' 3.50''
Reed Sheppard,PG,-%,7.75,9,6' 1.75'',7' 9.50'',181.6,6' 3.25''
Bronny James,SG,-%,8.5,9.5,6' 1.50'',8' 2.50'',210.4,6' 7.25''
Reece Beekman,PG,-%,8.5,9,6' 1.25'',8' 4.00'',196.4,6' 6.50''
Tyler Kolek,PG,-%,8.25,9.5,6' 1.25'',7' 11.00'',196.6,6' 2.75''
Robert Dillingham,PG,-%,8,8.25,6' 1.00'',7' 11.00'',164.2,6' 3.00''
Boogie Ellis,PG-SG,-%,9,9.5,6' 0.75'',8' 2.00'',185,6' 7.00''
Jamal Shead,PG,-%,8.25,8.75,6' 0.25'',8' 0.00'',200.8,6' 3.00''
KJ Simpson,PG,-%,8.25,9.25,6' 0.25'',7' 9.50'',187,6' 4.50''
Mark Sears,PG,-%,8,8.5,5' 10.25'',7' 8.00'',192.4,6' 2.00''
,,,,,,,,
,,,,,,,,
